Time (us),fs,dt,Sensor 1 - X,Sensor 2 - X,Sensor 3 - X,Sensor 4 - X,Sensor 1 - Y,Sensor 2 - Y,Sensor 3 - Y,Sensor 4 - Y
0.0,927,1079.0,0.26003654999999776,-1.8987574500000024,-5.235075450000003,-9.160155450000003,,,,
0.001079,927,1079.0,-0.13247145000000224,-2.4875194500000024,-5.4313294500000024,-8.669520450000002,,,,
0.002158,927,1079.0,-1.0156144500000024,-3.5669164500000026,-5.038821450000002,-7.884504450000002,,,,
0.003237,927,1079.0,-1.9968844500000023,-4.548186450000003,-5.038821450000002,-7.688250450000003,,,,
0.004316,927,1079.0,-2.5856464500000023,-5.529456450000002,-6.0200914500000025,-8.767647450000002,,,,
0.005395,927,1079.0,-2.3893924500000026,-5.921964450000003,-7.295742450000002,-10.926441450000002,,,,
0.006474,927,1079.0,-1.9968844500000023,-5.4313294500000024,-8.473266450000002,-13.477743450000004,,,,
0.007553,927,1079.0,-1.2118684500000023,-4.646313450000003,-8.963901450000003,-15.145902450000003,,,,
0.008632,927,1079.0,-0.5249794500000022,-3.7631704500000023,-9.062028450000003,-15.440283450000003,,,,
0.009711,927,1079.0,-0.32872545000000225,-3.7631704500000023,-9.062028450000003,-15.145902450000003,,,,
0.01079,927,1079.0,-0.9174874500000023,-4.744440450000003,-8.963901450000003,-15.047775450000003,,,,
0.011869,927,1079.0,-2.2912654500000023,-6.118218450000002,-9.454536450000003,-15.538410450000002,,,,
0.012948,927,1079.0,-3.0762814500000024,-7.393869450000003,-9.945171450000004,-16.127172450000003,,,,
0.014027,927,1079.0,-3.0762814500000024,-7.393869450000003,-10.435806450000003,-16.814061450000004,,,,
0.015106,927,1079.0,-2.2912654500000023,-6.6088534500000025,-10.632060450000003,-17.697204450000005,,,,
0.016185,927,1079.0,-1.3099954500000024,-5.333202450000003,-10.533933450000003,-18.972855450000004,,,,
0.017264,927,1079.0,-0.6231064500000023,-4.351932450000002,-11.122695450000004,-20.150379450000003,,,,
0.018343,927,1079.0,-0.13247145000000224,-4.744440450000003,-11.907711450000003,-21.327903450000004,,,,
0.019422,927,1079.0,-0.9174874500000023,-5.725710450000003,-12.692727450000003,-22.112919450000003,,,,
0.020501,927,1079.0,-2.1931384500000024,-7.099488450000003,-12.987108450000003,-22.211046450000005,,,,
0.02158,927,1079.0,-3.0762814500000024,-8.277012450000003,-12.790854450000003,-21.524157450000004,,,,
0.022659,927,1079.0,-3.3706624500000024,-8.375139450000002,-12.888981450000003,-21.033522450000003,,,,
0.023738,927,1079.0,-2.7819004500000024,-8.277012450000003,-13.085235450000003,-21.818538450000002,,,,
0.024817,927,1079.0,-2.3893924500000026,-7.688250450000003,-14.066505450000003,-23.879205450000004,,,,
0.025896,927,1079.0,-1.8987574500000024,-7.393869450000003,-15.342156450000003,-26.528634450000006,,,,
0.026975,927,1079.0,-1.5062494500000023,-7.590123450000003,-16.617807450000004,-28.196793450000005,,,,
0.028054,927,1079.0,-1.7025034500000022,-7.982631450000003,-17.206569450000003,-28.196793450000005,,,,
0.029133,927,1079.0,-2.3893924500000026,-8.865774450000004,-16.715934450000002,-27.313650450000004,,,,
0.030212,927,1079.0,-3.2725354500000026,-9.650790450000002,-16.225299450000005,-26.037999450000004,,,,
0.031291,927,1079.0,-3.8612974500000026,-10.337679450000003,-16.323426450000003,-25.645491450000005,,,,
0.03237,927,1079.0,-3.8612974500000026,-10.828314450000002,-17.010315450000004,-26.823015450000003,,,,
0.033449,927,1079.0,-3.6650434500000024,-10.533933450000003,-18.089712450000004,-28.981809450000004,,,,
0.034528,927,1079.0,-2.9781544500000026,-9.945171450000004,-18.678474450000003,-30.846222450000003,,,,
0.035607,927,1079.0,-2.1931384500000024,-8.963901450000003,-18.972855450000004,-31.238730450000006,,,,
0.036686,927,1079.0,-1.6043764500000024,-8.375139450000002,-18.580347450000005,-30.649968450000003,,,,
0.037765,927,1079.0,-1.7025034500000022,-8.669520450000002,-17.991585450000002,-29.766825450000002,,,,
0.038844,927,1079.0,-2.7819004500000024,-9.454536450000003,-17.795331450000003,-29.178063450000003,,,,
0.039923,927,1079.0,-3.5669164500000026,-10.828314450000002,-17.893458450000004,-29.178063450000003,,,,
0.041002,927,1079.0,-4.155678450000003,-11.417076450000003,-18.482220450000003,-29.570571450000003,,,,
